שם הקרן,מס' קרן,סוג הקרן,פרופיל חשיפה מניות,"פרופיל חשיפה מט""ח",סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מאפייני הקרן,נאמן,מנהל קרן,מעמד מס,דמי ניהול,דמי נאמנות,שווי נכסי הקרן,תאריך נכונות,מחיר קניה,מחיר פדיון,סטיית תקן,נכס ייחוס,סיווג עמלת הפצה,שיעור הוספה
איביאי טכ עילית,1142538,קרן הייטק,5,D,קרן סגורה,קרן טכנולוגיה עילית,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",יובנק נאמנות,"איביאי קרנות נאמנות ",פטורה,1.300,0.1000,500.6,31.07.2026,,,,"ת""א טק-עילית",לא נגבית עמלת הפצה,0.000
תכלית סל תא 35,1143700,קרן סל,4,0,מניות בארץ,מניות לפי שווי שוק,Large Cap,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מזרחי טפחות נאמנות,מיטב קרנות נאמנות,פטורה,0.250,0.0200,,30.07.2026,4018.86,4014.84,,"ת""א-35",לא נגבית עמלת הפצה,0.000
תכלית סל תא 125,1143718,קרן סל,4,0,מניות בארץ,מניות לפי שווי שוק,Mid Cap & Large,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.250,0.0200,,30.07.2026,3944.63,3940.69,,"ת""א 125",לא נגבית עמלת הפצה,0.000
תכלית סל בנקים ישראל,1143726,קרן סל,4,0,מניות בארץ,מניות לפי ענפים,בנקאות ואשראי חוץ בנקאי,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,הרמטיק נאמנות,מיטב קרנות נאמנות,פטורה,0.600,0.0200,,30.07.2026,7234.79,7227.56,,אינדקס בנקים ישראל,לא נגבית עמלת הפצה,0.000
תכלית סל 100 NDX ממ,1143734,קרן סל,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן כשרה",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.800,0.0300,,29.07.2026,21295.91,21232.02,,NASDAQ 100 - NTR,לא נגבית עמלת הפצה,0.000
תכלית סל Hang Seng CHN ממ,1143742,קרן סל,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אסיה ופסיפיק- שווקים מתעוררים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,1.500,0.0300,,29.07.2026,8610.99,8585.16,,"HANG SENG CHINA ENTREPRISES ",לא נגבית עמלת הפצה,0.000
תכלית סל EU STOXX50 ממ,1143767,קרן סל,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אירופה- כללי,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן כשרה",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.800,0.0300,,29.07.2026,7213.66,7192.02,,EURO STOXX 50 - NTR,לא נגבית עמלת הפצה,0.000
תכלית סל תא 90,1143783,קרן סל,4,0,מניות בארץ,מניות לפי שווי שוק,Mid Cap,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,הרמטיק נאמנות,מיטב קרנות נאמנות,פטורה,0.600,0.0200,,30.07.2026,3462.96,3459.50,,"ת""א 90",לא נגבית עמלת הפצה,0.000
תכלית סל תלבונד 20,1143791,קרן סל,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות צמודות מדד",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.250,0.0200,,30.07.2026,413.70,413.29,,תל בונד 20 צמודות,לא נגבית עמלת הפצה,0.000
תכלית סל SP500 ממ,1143817,קרן סל,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן כשרה",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.800,0.0300,,29.07.2026,6287.53,6268.67,,S&P 500 - NTR,לא נגבית עמלת הפצה,0.000
תכלית סל DAX ממ,1143825,קרן סל,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אירופה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.800,0.0300,,29.07.2026,21795.98,21730.59,,DAX - NTR,לא נגבית עמלת הפצה,0.000
תכלית סל STOXX600 מא,1143833,קרן סל,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אירופה- כללי,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן כשרה",הרמטיק נאמנות,מיטב קרנות נאמנות,פטורה,0.800,0.0300,,29.07.2026,829.82,827.33,,STOXX Europe 600 - NTR,לא נגבית עמלת הפצה,0.000
תכלית סל ‏SP Finance,1143841,קרן סל,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Financial,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.450,0.0300,,29.07.2026,15588.47,15541.70,,"S&P Financial Select Sector- NTR,דולר ארה""ב",לא נגבית עמלת הפצה,0.000
תכלית סל SPIndustrial ממ,1143858,קרן סל,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Industrials,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.800,0.0300,,29.07.2026,4485.99,4472.53,,S&P Industrial Select Sector - NTR,לא נגבית עמלת הפצה,0.000
תכלית סל MSCI World מד,1143866,קרן סל,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",גלובלי- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן כשרה",הרמטיק נאמנות,מיטב קרנות נאמנות,פטורה,0.800,0.0300,,28.07.2026,11603.89,11569.08,,MSCI WORLD INDEX - NTR,לא נגבית עמלת הפצה,0.000
תכלית סל מש מחזור/בסיס ממ,1143882,קרן סל,4,A,"מניות בחו""ל","מניות בחו""ל קרן משולבת",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.000,0.0300,,29.07.2026,21574.91,21510.19,,"S&P Consumer Staples Select Sector - NTR,S&P Consumer Discretionary Select Sector - NTR",לא נגבית עמלת הפצה,0.000
תכלית סל צריכה מחזור SP,1143957,קרן סל,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Consumer Discretionary,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.700,0.0300,,29.07.2026,19845.13,19785.59,,"S&P Consumer Discretionary Select Sector - NTR,דולר ארה""ב",לא נגבית עמלת הפצה,0.000
תכלית סל SP Tech ממ,1143965,קרן סל,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Technology,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.600,0.0300,,29.07.2026,11167.83,11134.33,,S&P Technology Select Sector Index - NTR,לא נגבית עמלת הפצה,0.000
תכלית סל צריכה בסיס SP,1143981,קרן סל,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Consumer Staples,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.600,0.0300,,29.07.2026,12078.03,12041.80,,"S&P Consumer Staples Select Sector - NTR,דולר ארה""ב",לא נגבית עמלת הפצה,0.000
תכלית סל SP HealthCare,1143999,קרן סל,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Health Care,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.500,0.0300,,29.07.2026,19328.47,19270.48,,"S&P Health Care Select Sector Index- NTR,דולר ארה""ב",לא נגבית עמלת הפצה,0.000
תכלית סל תלבונד מאגר,1144013,קרן סל,0,B,"אג""ח בארץ - חברות והמרה","אג""ח חברות","אג""ח חברות שקלי וצמוד",לפי מדיניות השקעותיה הקרן הינה קרן מחקה,הרמטיק נאמנות,מיטב קרנות נאמנות,פטורה,0.250,0.0150,,30.07.2026,4312.43,4308.12,,תל בונד מאגר,לא נגבית עמלת הפצה,0.000
תכלית סל CAC 40 ממ,1144054,קרן סל,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אירופה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",הרמטיק נאמנות,מיטב קרנות נאמנות,פטורה,0.800,0.0300,,29.07.2026,19053.67,18996.51,,CAC 40 - NTR,לא נגבית עמלת הפצה,0.000
תכלית סל DAX,1144104,קרן סל,4,D,"מניות בחו""ל","מניות גיאוגרפי - חשופת מט""ח",אירופה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - אירו",הרמטיק נאמנות,מיטב קרנות נאמנות,פטורה,0.600,0.0300,,29.07.2026,7895.13,7871.44,,"DAX - NTR,אירו",לא נגבית עמלת הפצה,0.000
תכלית סל MSCI India,1144112,קרן סל,4,D,"מניות בחו""ל","מניות גיאוגרפי - חשופת מט""ח",אסיה ופסיפיק- שווקים מתעוררים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - רופי הודי",הרמטיק נאמנות,מיטב קרנות נאמנות,פטורה,1.200,0.0300,,28.07.2026,792.42,790.04,,"MSCI INDIA - NTR,רופי הודי",לא נגבית עמלת הפצה,0.000
תכלית סל תא פיננסים,1144161,קרן סל,4,0,מניות בארץ,מניות לפי ענפים,פיננסים,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,הרמטיק נאמנות,מיטב קרנות נאמנות,פטורה,0.500,0.0150,,30.07.2026,9199.23,9180.83,,"ת""א פיננסים",לא נגבית עמלת הפצה,0.000
תכלית סל MSCI ACWorld,1144237,קרן סל,4,D,"מניות בחו""ל","מניות גלובליות - חשופת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן כשרה",הרמטיק נאמנות,מיטב קרנות נאמנות,פטורה,1.000,0.0300,,28.07.2026,3906.47,3894.75,,"MSCI AC WORLD INDEX - NTR,דולר ארה""ב",לא נגבית עמלת הפצה,0.000
תכלית סל ‏ISE Cyber,1144252,קרן סל,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Cyber Security,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.600,0.0300,,28.07.2026,2947.14,2938.30,,"ISE Cyber Security - NTR,דולר ארה""ב",לא נגבית עמלת הפצה,0.000
תכלית סל תלבונד תשו ש,1144260,קרן סל,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות שקלי",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.200,0.0200,,30.07.2026,4309.42,4305.11,,תל בונד-תשואות שקל,לא נגבית עמלת הפצה,0.000
תכלית סל SP Energy,1144278,קרן סל,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Energy,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.350,0.0300,,29.07.2026,7485.13,7462.67,,"S&P Energy Select Sector - NTR,דולר ארה""ב",לא נגבית עמלת הפצה,0.000
תכלית סל SP US AD,1144310,קרן סל,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Aerospace & Defense,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.600,0.0300,,29.07.2026,14123.06,14080.69,,"S&P Aerospace & Defense Select Industry Index - NTR,דולר ארה""ב",לא נגבית עמלת הפצה,0.000
תכלית סל MSCI ACWorld מד,1144336,קרן סל,4,A,"מניות בחו""ל","מניות גלובליות - מנוטרלת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן כשרה",אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.600,0.0300,,28.07.2026,479.50,478.06,,MSCI AC WORLD INDEX - NTR,לא נגבית עמלת הפצה,0.000
תכלית סל תלבונד-גלובל,1144377,קרן סל,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות שקלי",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,אלמגור-בריטמן נאמנות,מיטב קרנות נאמנות,פטורה,0.200,0.0200,,30.07.2026,4529.63,4525.10,,תל בונד - גלובל שקלי,לא נגבית עמלת הפצה,0.000
